"Id";"Référence";"Empreinte";"Quantité";"Désignation";"Fournisseur et réf";
1;"R20,R8,R13,R24,R7,R10,R23,R19,R11,R12,R9,R14";"R_0805_2012Metric";12;"10K";;;
2;"C1,C12,C10,C9,C2,C3,C4";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";7;"100nF";;;
3;"U4";"SSOP-20_5.3x7.2mm_P0.65mm";1;"ADM3260";;;
4;"R22";"R_0805_2012Metric";1;"R10K";;;
5;"J1,J2";"BNC_Amphenol_B6252HB-NPP3G-50_Horizontal";2;"Conn_Coaxial";;;
6;"R26,R27,R29,R28";"R_0805_2012Metric";4;"4,7K";;;
7;"C5,C7,C8,C6";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";4;"1uF";;;
8;"U1,U2";"SOIC-8_3.9x4.9mm_P1.27mm";2;"LMP7721MA/NOPB";;;
9;"R1,R2";"R_0805_2012Metric";2;"100K";;;
10;"TP3";"TestPoint_Pad_D2.0mm";1;"Test GND";;;
11;"TP7";"TestPoint_Pad_D2.0mm";1;"Test AIN3";;;
12;"J4";"TerminalBlock_Phoenix_MPT-0,5-3-2.54_1x03_P2.54mm_Horizontal";1;"Conn_Pression";;;
13;"R5";"R_0805_2012Metric";1;"200K";;;
14;"R6";"R_0805_2012Metric";1;"1M";;;
15;"TP4";"TestPoint_Pad_D2.0mm";1;"Test AIN0";;;
16;"Q2,Q1";"SOT-23";2;"BSS138";;;
17;"C14";"C_0805_2012Metric";1;"100n";;;
18;"C11,C13";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";2;"10uF";;;
19;"R25";"R_0805_2012Metric";1;"4K7";;;
20;"TP1";"TestPoint_Pad_D2.0mm";1;"Test GND Iso";;;
21;"J5";"TerminalBlock_Phoenix_MPT-0,5-3-2.54_1x03_P2.54mm_Horizontal";1;"Conn_DS18B20";;;
22;"C15";"CP_Elec_4x5.4";1;"10u";;;
23;"TP6";"TestPoint_Pad_D2.0mm";1;"Test AIN2";;;
24;"R21";"R_0805_2012Metric";1;"R30.9K";;;
25;"R3,R4";"R_0805_2012Metric";2;"51K";;;
26;"U3";"VSSOP-10_3x3mm_P0.5mm";1;"ADS1115IDGS";;;
27;"TP2";"TestPoint_Pad_D2.0mm";1;"Test Vcc Iso";;;
28;"TP5";"TestPoint_Pad_D2.0mm";1;"Test AIN1";;;
